id,binary_value
98,00000000000000000000100110100101
99,00000000000000000000100110100101
100,00000000000000000000100110101011
101,00000000000000000000100110100101
102,00000000000000000000100110100101
103,00000000000000000000100110011110
104,00000000000000000000100110011110
105,00000000000000000000100110100101
106,00000000000000000000100110100101
107,00000000000000000000100110100101
108,00000000000000000000100110100101
109,00000000000000000000100110100101
110,00000000000000000000100110100101
111,00000000000000000000100110100101
112,00000000000000000000100110100101
113,00000000000000000000100110101011
114,00000000000000000000100110101011
115,00000000000000000000100110101011
116,00000000000000000000100110101011
117,00000000000000000000100110101011
118,00000000000000000000100110101011
119,00000000000000000000100110101011
120,00000000000000000000100110110001
121,00000000000000000000100110110001
122,00000000000000000000100110110001
123,00000000000000000000100110101011
124,00000000000000000000100110101011
125,00000000000000000000100110110001
126,00000000000000000000100110110001
127,00000000000000000000100110110001
128,00000000000000000000100110110001
129,00000000000000000000100110110001
130,00000000000000000000100110110001
131,00000000000000000000100110110001
132,00000000000000000000100110110001
133,00000000000000000000100110110001
134,00000000000000000000100110110001
135,00000000000000000000100110110111
136,00000000000000000000100110110111
137,00000000000000000000100110110111
138,00000000000000000000100110110111
139,00000000000000000000100110111110
140,00000000000000000000100110110111
141,00000000000000000000100110110111
142,00000000000000000000100110110111
143,00000000000000000000100110110111
144,00000000000000000000100110110111
145,00000000000000000000100110110111
146,00000000000000000000100110110111
147,00000000000000000000100110110111
148,00000000000000000000100110111110
149,00000000000000000000100110111110
150,00000000000000000000100110111110
151,00000000000000000000100110110111
152,00000000000000000000100110111110
153,00000000000000000000100111000100
154,00000000000000000000100111000100
155,00000000000000000000100110111110
156,00000000000000000000100110111110
157,00000000000000000000100110111110
158,00000000000000000000100111000100
159,00000000000000000000100111000100
160,00000000000000000000100110111110
161,00000000000000000000100110110111
162,00000000000000000000100110111110
163,00000000000000000000100111000100
164,00000000000000000000100110111110
165,00000000000000000000100110111110
166,00000000000000000000100110111110
167,00000000000000000000100110111110
168,00000000000000000000100111000100
169,00000000000000000000100110111110
170,00000000000000000000100111000100
171,00000000000000000000100111000100
172,00000000000000000000100110111110
173,00000000000000000000100110111110
174,00000000000000000000100110111110
175,00000000000000000000100110111110
176,00000000000000000000100110111110
177,00000000000000000000100110111110
178,00000000000000000000100111000100
179,00000000000000000000100110111110
180,00000000000000000000100111000100
181,00000000000000000000100111000100
182,00000000000000000000100111001010
183,00000000000000000000100111000100
184,00000000000000000000100111000100
185,00000000000000000000100111000100
186,00000000000000000000100111000100
187,00000000000000000000100111001010
188,00000000000000000000100111000100
189,00000000000000000000100111000100
190,00000000000000000000100111000100
191,00000000000000000000100111000100
192,00000000000000000000100111000100
193,00000000000000000000100111001010
194,00000000000000000000100111000100
195,00000000000000000000100111001010
196,00000000000000000000100111000100
197,00000000000000000000100111000100
198,00000000000000000000100111000100
199,00000000000000000000100111000100
200,00000000000000000000100111000100
201,00000000000000000000100111000100
202,00000000000000000000100111000100
203,00000000000000000000100111000100
204,00000000000000000000100111000100
205,00000000000000000000100111000100
206,00000000000000000000100111000100
207,00000000000000000000100111000100
208,00000000000000000000100111000100
209,00000000000000000000100111000100
210,00000000000000000000100110111110
211,00000000000000000000100110111110
212,00000000000000000000100111000100
213,00000000000000000000100110111110
214,00000000000000000000100111000100
215,00000000000000000000100111000100
216,00000000000000000000100111000100
217,00000000000000000000100111000100
218,00000000000000000000100111000100
219,00000000000000000000100111000100
220,00000000000000000000100110111110
221,00000000000000000000100111000100
222,00000000000000000000100111000100
223,00000000000000000000100111000100
224,00000000000000000000100110111110
225,00000000000000000000100111000100
226,00000000000000000000100111000100
227,00000000000000000000100111000100
228,00000000000000000000100111000100
229,00000000000000000000100111001010
230,00000000000000000000100111000100
231,00000000000000000000100111001010
232,00000000000000000000100111001010
233,00000000000000000000100111001010
234,00000000000000000000100111001010
235,00000000000000000000100111001010
236,00000000000000000000100111001010
237,00000000000000000000100111010000
238,00000000000000000000100111010000
239,00000000000000000000100111010000
240,00000000000000000000100111010000
241,00000000000000000000100111010000
242,00000000000000000000100111010000
243,00000000000000000000100111010000
244,00000000000000000000100111010000
245,00000000000000000000100111010111
246,00000000000000000000100111010111
247,00000000000000000000100111010111
248,00000000000000000000100111010111
249,00000000000000000000100111010111
250,00000000000000000000100111010111
251,00000000000000000000100111010111
252,00000000000000000000100111011101
253,00000000000000000000100111010111
254,00000000000000000000100111010111
255,00000000000000000000100111011101
256,00000000000000000000100111011101
257,00000000000000000000100111011101
258,00000000000000000000100111010111
259,00000000000000000000100111010111
260,00000000000000000000100111010111
261,00000000000000000000100111011101
262,00000000000000000000100111011101
263,00000000000000000000100111011101
264,00000000000000000000100111011101
265,00000000000000000000100111011101
266,00000000000000000000100111011101
267,00000000000000000000100111011101
268,00000000000000000000100111011101
269,00000000000000000000100111011101
270,00000000000000000000100111011101
271,00000000000000000000100111011101
272,00000000000000000000100111011101
273,00000000000000000000100111100011
274,00000000000000000000100111011101
275,00000000000000000000100111100011
276,00000000000000000000100111100011
277,00000000000000000000100111100011
278,00000000000000000000100111101001
279,00000000000000000000100111101001
280,00000000000000000000100111100011
281,00000000000000000000100111101001
282,00000000000000000000100111101001
283,00000000000000000000100111110000
284,00000000000000000000100111101001
285,00000000000000000000100111101001
286,00000000000000000000100111101001
287,00000000000000000000100111110000
288,00000000000000000000100111110000
289,00000000000000000000100111110000
290,00000000000000000000100111110000
291,00000000000000000000100111110110
292,00000000000000000000100111110000
293,00000000000000000000100111110000
294,00000000000000000000100111110000
295,00000000000000000000100111110000
296,00000000000000000000100111110000
297,00000000000000000000100111110110
298,00000000000000000000100111110000
299,00000000000000000000100111110000
300,00000000000000000000100111110110
301,00000000000000000000100111110110
302,00000000000000000000100111110000
303,00000000000000000000100111110110
304,00000000000000000000100111110000
305,00000000000000000000100111110110
306,00000000000000000000100111110110
307,00000000000000000000100111110110
308,00000000000000000000100111110110
309,00000000000000000000100111110110
310,00000000000000000000100111110110
311,00000000000000000000100111110110
312,00000000000000000000100111110110
313,00000000000000000000100111110110
314,00000000000000000000100111110110
315,00000000000000000000100111110000
316,00000000000000000000100111110000
317,00000000000000000000100111110000
318,00000000000000000000100111110000
319,00000000000000000000100111110000
320,00000000000000000000100111110000
321,00000000000000000000100111110000
322,00000000000000000000100111110000
323,00000000000000000000100111111100
324,00000000000000000000100111110110
325,00000000000000000000100111110110
326,00000000000000000000100111110110
327,00000000000000000000100111110110
328,00000000000000000000100111110110
329,00000000000000000000100111110000
330,00000000000000000000100111110000
331,00000000000000000000100111110000
332,00000000000000000000100111101001
333,00000000000000000000100111110000
334,00000000000000000000100111101001
335,00000000000000000000100111110000
336,00000000000000000000100111101001
337,00000000000000000000100111101001
338,00000000000000000000100111101001
339,00000000000000000000100111101001
340,00000000000000000000100111101001
341,00000000000000000000100111101001
342,00000000000000000000100111101001
343,00000000000000000000100111101001
344,00000000000000000000100111101001
345,00000000000000000000100111100011
346,00000000000000000000100111101001
347,00000000000000000000100111101001
348,00000000000000000000100111101001
349,00000000000000000000100111101001
350,00000000000000000000100111100011
351,00000000000000000000100111100011
352,00000000000000000000100111100011
353,00000000000000000000100111100011
354,00000000000000000000100111101001
355,00000000000000000000100111101001
356,00000000000000000000100111100011
357,00000000000000000000100111101001
358,00000000000000000000100111100011
359,00000000000000000000100111101001
360,00000000000000000000100111101001
361,00000000000000000000100111100011
362,00000000000000000000100111100011
363,00000000000000000000100111100011
364,00000000000000000000100111100011
365,00000000000000000000100111101001
366,00000000000000000000100111100011
367,00000000000000000000100111101001
368,00000000000000000000100111101001
369,00000000000000000000100111100011
370,00000000000000000000100111100011
