id,binary_value
562,00000000000000000000101111010011
563,00000000000000000000101111010011
564,00000000000000000000101111010011
565,00000000000000000000101111010011
566,00000000000000000000101111010011
567,00000000000000000000101111010011
568,00000000000000000000101111010011
569,00000000000000000000101111010011
570,00000000000000000000110000000100
571,00000000000000000000110000000100
572,00000000000000000000110000000100
573,00000000000000000000101111010011
574,00000000000000000000101111010011
575,00000000000000000000110000000100
576,00000000000000000000110000000100
577,00000000000000000000101111010011
578,00000000000000000000110000000100
579,00000000000000000000110000000100
580,00000000000000000000110000000100
581,00000000000000000000101111010011
582,00000000000000000000101111010011
583,00000000000000000000101111010011
584,00000000000000000000110000000100
585,00000000000000000000110000000100
586,00000000000000000000110000000100
587,00000000000000000000110000000100
588,00000000000000000000110000000100
589,00000000000000000000110000000100
590,00000000000000000000110000000100
591,00000000000000000000110000000100
592,00000000000000000000110000000100
593,00000000000000000000101100010000
594,00000000000000000000110000110101
595,00000000000000000000101000011100
596,00000000000000000000101000011100
597,00000000000000000000101010101110
598,00000000000000000000101010101110
599,00000000000000000000101011011111
600,00000000000000000000110010010111
601,00000000000000000000110001100110
602,00000000000000000001000110111101
603,00000000000000000000101100010000
604,00000000000000000000110001100110
605,00000000000000000000101010101110
606,00000000000000000000101001001101
607,00000000000000000001000011001001
608,00000000000000000000101111010011
609,00000000000000000000101101000001
610,00000000000000000000101110100011
611,00000000000000000000101101110010
612,00000000000000000000110110111100
613,00000000000000000001001101000100
614,00000000000000000001000110111101
615,00000000000000000000110000110101
616,00000000000000000000101011011111
617,00000000000000000000101001111110
618,00000000000000000000110111101100
619,00000000000000000000101000011100
620,00000000000000000000101001001101
621,00000000000000000000101000011100
622,00000000000000000000111010110000
623,00000000000000000000101001001101
624,00000000000000000001000000110110
625,00000000000000000000101001001101
626,00000000000000000000101001111110
627,00000000000000000000111001111111
628,00000000000000000000101010101110
629,00000000000000000000101001111110
630,00000000000000000000101001111110
631,00000000000000000000101100010000
632,00000000000000000000110000000100
633,00000000000000000000110000110101
634,00000000000000000000101001001101
635,00000000000000000000101100010000
636,00000000000000000000110001100110
637,00000000000000000001000011001001
638,00000000000000000000111001111111
639,00000000000000000001000011111010
640,00000000000000000000110011000111
641,00000000000000000001000011001001
642,00000000000000000000101010101110
643,00000000000000000000110000110101
644,00000000000000000001001000011111
645,00000000000000000000101011011111
646,00000000000000000000101010101110
647,00000000000000000000101111010011
648,00000000000000000001001011100010
649,00000000000000000001001010110001
650,00000000000000000000101010101110
651,00000000000000000000111010110000
652,00000000000000000001000000000110
653,00000000000000000000110010010111
654,00000000000000000000110000110101
655,00000000000000000000101101000001
656,00000000000000000000101101000001
657,00000000000000000000110001100110
658,00000000000000000000101110100011
659,00000000000000000000111001001110
660,00000000000000000000101101000001
661,00000000000000000000110000110101
662,00000000000000000000101101000001
663,00000000000000000001000000000110
664,00000000000000000000111100010001
665,00000000000000000001000100101011
666,00000000000000000000110110001011
667,00000000000000000000101011011111
668,00000000000000000000110010010111
669,00000000000000000000101101000001
670,00000000000000000000110001100110
671,00000000000000000000101101110010
672,00000000000000000000110100101001
673,00000000000000000001000110001100
674,00000000000000000000101101110010
675,00000000000000000000101101110010
676,00000000000000000000101101110010
677,00000000000000000000110100101001
678,00000000000000000000110000110101
679,00000000000000000000110011000111
680,00000000000000000000110101011010
681,00000000000000000000110011111000
682,00000000000000000000110100101001
683,00000000000000000000110000110101
684,00000000000000000001000001100111
685,00000000000000000000101110100011
686,00000000000000000000110011111000
687,00000000000000000000110100101001
688,00000000000000000000110011000111
689,00000000000000000000110000000100
690,00000000000000000000110101011010
691,00000000000000000001001101110100
692,00000000000000000000110110111100
693,00000000000000000000110010010111
694,00000000000000000001001100010011
695,00000000000000000000110001100110
696,00000000000000000000110110001011
697,00000000000000000000110111101100
698,00000000000000000000111000011101
699,00000000000000000000111000011101
700,00000000000000000000110010010111
701,00000000000000000000110111101100
702,00000000000000000000110010010111
703,00000000000000000000110011000111
704,00000000000000000000111101110011
705,00000000000000000000110001100110
706,00000000000000000000110111101100
707,00000000000000000000111001111111
708,00000000000000000000111000011101
709,00000000000000000000111110100100
710,00000000000000000000110011000111
711,00000000000000000001000010011000
712,00000000000000000000110011000111
713,00000000000000000000110000000100
714,00000000000000000001000101011011
715,00000000000000000000110100101001
716,00000000000000000000111000011101
717,00000000000000000001001000011111
718,00000000000000000000101100010000
719,00000000000000000000110101011010
720,00000000000000000000101011011111
721,00000000000000000000101111010011
722,00000000000000000000110011111000
723,00000000000000000000110011000111
724,00000000000000000000111000011101
725,00000000000000000000101100010000
726,00000000000000000000101110100011
727,00000000000000000000101111010011
728,00000000000000000000110001100110
729,00000000000000000000111101110011
730,00000000000000000000110100101001
731,00000000000000000000110000110101
732,00000000000000000000110001100110
733,00000000000000000000110100101001
734,00000000000000000000110000110101
735,00000000000000000000110000000100
736,00000000000000000001000000000110
737,00000000000000000000101100010000
738,00000000000000000000101101110010
739,00000000000000000000101011011111
740,00000000000000000000110001100110
741,00000000000000000000101100010000
742,00000000000000000000110001100110
743,00000000000000000000110010010111
744,00000000000000000000110100101001
745,00000000000000000000101010101110
746,00000000000000000000110011000111
747,00000000000000000000110110001011
748,00000000000000000000111000011101
749,00000000000000000000101011011111
750,00000000000000000000110100101001
751,00000000000000000000101111010011
752,00000000000000000000101110100011
753,00000000000000000000101100010000
754,00000000000000000000110010010111
755,00000000000000000000110100101001
756,00000000000000000000101011011111
757,00000000000000000000101011011111
758,00000000000000000000110011111000
759,00000000000000000000101100010000
760,00000000000000000000101101110010
761,00000000000000000000101011011111
762,00000000000000000000110011000111
763,00000000000000000000101100010000
764,00000000000000000000101011011111
765,00000000000000000000111010110000
766,00000000000000000000110110111100
767,00000000000000000000110100101001
768,00000000000000000000110010010111
