id,value
1352,3174
1353,3125
1354,3125
1355,3760
1356,3125
1357,3174
1358,3662
1359,3809
1360,3174
1361,3613
1362,3320
1363,3613
1364,3369
1365,3516
1366,3613
1367,3174
1368,4004
1369,3125
1370,3320
1371,3125
1372,3174
1373,3418
1374,3613
1375,4443
1376,3125
1377,3613
1378,3369
1379,3125
1380,3467
1381,3613
1382,3320
1383,3418
1384,3223
1385,3516
1386,3174
1387,3369
1388,3564
1389,3223
1390,4443
1391,3271
1392,3906
1393,3467
1394,3418
1395,3174
1396,4443
1397,3076
1398,3369
1399,4297
1400,3760
1401,3613
1402,3369
1403,3125
1404,3662
1405,3564
1406,3857
1407,3857
1408,3223
1409,3320
1410,3906
1411,3662
1412,3369
1413,3369
1414,3711
1415,3076
1416,3076
1417,3125
1418,3516
1419,3320
1420,3564
1421,3564
1422,3320
1423,3174
1424,3613
1425,3076
1426,3223
1427,3174
1428,3467
1429,3613
1430,3564
1431,3760
1432,4395
1433,3369
1434,3516
1435,3613
1436,3223
1437,3613
1438,3174
1439,3125
1440,3125
1441,3418
1442,3125
1443,3418
1444,3223
1445,3662
1446,3564
1447,3223
1448,3125
1449,3711
1450,3564
1451,3711
1452,3320
1453,3564
1454,3857
1455,3271
1456,3320
1457,3125
1458,3760
1459,3223
1460,3516
1461,3320
1462,3369
1463,3271
1464,3760
1465,4639
1466,3320
1467,3223
1468,3662
1469,3760
1470,3760
1471,3662
1472,3516
1473,3564
1474,4199
1475,3223
1476,3271
1477,4590
1478,3174
1479,3174
1480,3564
1481,3809
1482,3467
1483,3516
1484,3271
1485,3955
1486,3174
1487,4395
1488,3223
1489,3369
1490,3174
1491,3564
1492,3271
1493,3271
1494,3613
1495,4004
1496,3809
1497,3174
1498,3369
1499,3369
1500,3271
1501,3223
1502,4736
1503,3711
1504,3760
1505,4688
1506,3320
1507,3809
1508,4297
1509,3271
1510,3223
1511,3320
1512,4639
1513,3320
1514,3174
1515,3418
1516,3223
1517,3271
1518,4785
1519,3223
1520,3711
1521,4834
1522,3467
1523,3760
1524,3467
1525,4932
1526,3174
1527,3613
1528,3369
1529,3271
1530,3516
1531,3223
1532,3516
1533,3760
1534,3662
1535,3662
1536,3711
1537,3516
1538,3369
1539,3564
1540,3418
1541,3564
1542,3271
1543,3809
1544,3467
1545,3271
1546,3857
1547,3760
1548,4395
1549,3711
1550,3418
1551,3271
1552,4590
1553,3320
1554,3223
1555,3320
1556,3516
1557,3613
1558,3418
1559,3857
1560,3223
1561,3662
1562,3564
1563,3516
1564,3906
1565,3760
1566,3906
1567,3320
1568,4395
1569,3809
1570,4932
1571,3320
1572,3564
1573,3320
1574,4492
1575,3467
1576,3369
1577,4199
1578,3613
1579,3564
1580,3418
1581,3369
1582,4492
1583,3418
1584,3369
1585,4590
1586,3418
1587,3906
1588,3613
1589,3711
1590,3467
1591,3516
1592,3467
1593,4053
1594,4834
1595,3564
1596,3467
1597,3613
1598,3857
1599,3955
1600,3613
1601,3809
1602,4541
1603,3418
1604,3711
1605,3809
1606,4688
1607,3418
1608,3418
1609,3906
1610,3613
1611,4395
1612,3613
1613,3613
1614,4932
1615,3662
1616,3467
1617,3369
1618,3613
1619,3418
1620,4541
1621,3320
1622,3662
1623,3418
1624,3760
1625,3857
1626,3320
1627,3320
1628,3662
1629,3418
1630,3662
1631,3906
1632,3564
1633,4883
1634,3711
1635,3516
1636,3271
1637,3369
1638,3613
1639,3320
1640,4443
1641,3271
1642,3320
1643,3857
1644,4395
1645,4639
1646,3857
1647,3857
1648,3418
1649,3809
1650,3369
1651,3760
1652,3809
1653,3320
1654,3369
1655,3906
1656,3564
1657,3906
1658,4199
1659,3662
1660,3467
1661,4639
1662,3369
1663,3662
1664,4590
1665,3564
1666,4004
1667,3418
1668,3320
1669,3369
1670,3516
1671,3906
1672,3516
1673,4590
1674,3711
1675,4395
1676,3418
1677,3613
1678,3662
1679,3320
1680,3613
1681,3857
1682,3613
1683,3418
1684,3564
1685,3467
1686,4492
1687,3467
1688,3320
1689,4004
1690,3760
1691,3613
1692,3857
1693,4199
1694,3467
1695,4541
1696,4297
1697,3955
1698,4541
1699,3320
1700,3271
1701,3320
